,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-12 11:38:55,4c:18:9a:af:47:d4,[5],[-86.0],1
1,4014,center,2018-01-12 11:38:59,4c:18:9a:af:47:d4,[4],[-83.53846153846153],1
2,4014,center,2018-01-12 11:39:01,4c:18:9a:af:47:d4,[5],[-85.3],1
3,4014,center,2018-01-12 11:39:02,4c:18:9a:af:47:d4,[8],[-82.72727272727273],1
4,4014,center,2018-01-12 11:39:04,4c:18:9a:af:47:d4,[11],[-83.54545454545455],1
5,4014,center,2018-01-12 11:39:05,4c:18:9a:af:47:d4,"[2, 3, 7, 10]","[-89.0, -83.3076923076923, -85.72727272727273, -85.5]",4
6,4014,center,2018-01-12 11:39:16,4c:18:9a:af:47:d4,"[1, 4, 5, 9, 10]","[-81.54545454545455, -73.9, -76.81818181818181, -81.27272727272727, -87.5]",5
7,4014,center,2018-01-12 11:39:17,4c:18:9a:af:47:d4,"[8, 13]","[-73.15789473684211, -87.0]",2
8,4014,center,2018-01-12 11:39:18,4c:18:9a:af:47:d4,[2],[-84.55],1
9,4014,center,2018-01-12 11:39:19,4c:18:9a:af:47:d4,"[5, 12]","[-79.7, -85.66666666666667]",2
10,4014,center,2018-01-12 11:39:20,4c:18:9a:af:47:d4,"[4, 7]","[-81.6875, -86.76923076923077]",2
11,4014,center,2018-01-12 11:39:21,4c:18:9a:af:47:d4,"[1, 6, 8, 9, 10]","[-79.42857142857143, -89.0, -75.66666666666667, -85.63636363636364, -88.0]",5
12,4014,center,2018-01-12 11:39:27,4c:18:9a:af:47:d4,[5],[-78.58823529411765],1
13,4014,center,2018-01-12 11:39:28,4c:18:9a:af:47:d4,"[2, 4]","[-86.54545454545455, -86.8]",2
14,4014,center,2018-01-12 11:39:29,4c:18:9a:af:47:d4,"[1, 8]","[-82.21052631578948, -83.66666666666667]",2
15,4014,center,2018-01-12 11:39:43,4c:18:9a:af:47:d4,[4],[-81.0],1
16,4014,center,2018-01-12 11:39:44,4c:18:9a:af:47:d4,"[2, 9]","[-78.88235294117646, -87.14285714285714]",2
17,4014,center,2018-01-12 11:39:45,4c:18:9a:af:47:d4,"[6, 12]","[-84.25, -83.5]",2
18,4014,center,2018-01-12 11:39:46,4c:18:9a:af:47:d4,"[1, 5, 8, 13]","[-71.23809523809524, -61.2, -75.92307692307692, -84.0]",4
19,4014,center,2018-01-12 11:39:47,4c:18:9a:af:47:d4,[14],[-74.69565217391305],1
20,4014,center,2018-01-12 11:39:58,4c:18:9a:af:47:d4,"[4, 5, 6, 12, 15]","[-73.70833333333333, -53.0, -81.33333333333333, -78.6, -86.0]",5
21,4014,center,2018-01-12 11:39:59,4c:18:9a:af:47:d4,"[1, 14]","[-76.47368421052632, -69.0]",2
22,4014,center,2018-01-12 11:40:00,4c:18:9a:af:47:d4,"[9, 13]","[-84.18181818181819, -80.08695652173913]",2
23,4014,center,2018-01-12 11:40:01,4c:18:9a:af:47:d4,"[7, 8]","[-85.45454545454545, -66.0]",2
24,4014,center,2018-01-12 11:40:02,4c:18:9a:af:47:d4,"[2, 5]","[-79.41666666666667, -60.333333333333336]",2
25,4014,center,2018-01-12 11:40:04,4c:18:9a:af:47:d4,[6],[-76.11111111111111],1
26,4014,center,2018-01-12 11:40:16,4c:18:9a:af:47:d4,"[1, 2, 12]","[-73.0952380952381, -84.71428571428571, -79.0]",3
27,4014,center,2018-01-12 11:40:17,4c:18:9a:af:47:d4,[4],[-80.0],1
28,4014,center,2018-01-12 11:40:18,4c:18:9a:af:47:d4,[8],[-69.13333333333334],1
29,4014,center,2018-01-12 11:40:19,4c:18:9a:af:47:d4,"[5, 14]","[-49.8235294117647, -76.15]",2
30,4014,center,2018-01-12 11:40:20,4c:18:9a:af:47:d4,"[1, 6, 9, 13, 15]","[-74.06896551724138, -85.13333333333334, -87.5, -82.8, -85.3913043478261]",5
31,4014,center,2018-01-12 11:40:21,4c:18:9a:af:47:d4,"[2, 4, 8, 12]","[-83.81818181818181, -80.52380952380952, -72.72413793103448, -80.0]",4
32,4014,center,2018-01-12 11:40:22,4c:18:9a:af:47:d4,[5],[-49.125],1
33,4014,center,2018-01-12 11:40:25,4c:18:9a:af:47:d4,[1],[-72.5909090909091],1
34,4014,center,2018-01-12 11:40:26,4c:18:9a:af:47:d4,"[7, 12]","[-87.71428571428571, -77.66666666666667]",2
35,4014,center,2018-01-12 11:40:27,4c:18:9a:af:47:d4,"[4, 8]","[-79.45454545454545, -68.4375]",2
36,4014,center,2018-01-12 11:40:28,4c:18:9a:af:47:d4,"[2, 5, 9, 13, 14]","[-82.375, -61.76, -84.33333333333333, -83.14285714285714, -74.42857142857143]",5
37,4014,center,2018-01-12 11:40:29,4c:18:9a:af:47:d4,[6],[-82.86363636363636],1
38,4014,center,2018-01-12 11:40:31,4c:18:9a:af:47:d4,[15],[-83.07142857142857],1
39,4014,center,2018-01-12 11:40:33,4c:18:9a:af:47:d4,[12],[-82.7],1
40,4014,center,2018-01-12 11:40:34,4c:18:9a:af:47:d4,"[1, 4]","[-79.625, -83.77777777777777]",2
41,4014,center,2018-01-12 11:40:35,4c:18:9a:af:47:d4,"[8, 14]","[-78.1875, -80.66666666666667]",2
42,4014,center,2018-01-12 11:40:36,4c:18:9a:af:47:d4,[13],[-82.11111111111111],1
43,4014,center,2018-01-12 11:40:37,4c:18:9a:af:47:d4,[2],[-83.2],1
44,4014,center,2018-01-12 11:40:38,4c:18:9a:af:47:d4,[1],[-77.75],1
45,4014,center,2018-01-12 11:40:39,4c:18:9a:af:47:d4,[6],[-80.02857142857142],1
46,4014,center,2018-01-12 11:40:40,4c:18:9a:af:47:d4,"[4, 12]","[-84.61538461538461, -81.8]",2
47,4014,center,2018-01-12 11:40:41,4c:18:9a:af:47:d4,"[5, 8]","[-60.0, -74.25]",2
48,4014,center,2018-01-12 11:40:45,4c:18:9a:af:47:d4,[13],[-81.1875],1
49,4014,center,2018-01-12 11:40:47,4c:18:9a:af:47:d4,[2],[-85.44444444444444],1
50,4014,center,2018-01-12 11:40:50,4c:18:9a:af:47:d4,[14],[-76.25],1
51,4014,center,2018-01-12 11:40:53,4c:18:9a:af:47:d4,[13],[-87.75],1
52,4014,center,2018-01-12 11:40:54,4c:18:9a:af:47:d4,[1],[-77.4],1
