,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-15 03:52:46,60:8e:08:c4:7f:2c,[1],[-82.0],1
1,4014,center,2018-01-15 03:52:49,60:8e:08:c4:7f:2c,[14],[-81.0],1
2,4014,center,2018-01-15 03:52:55,60:8e:08:c4:7f:2c,[5],[-52.0],1
3,4014,center,2018-01-15 03:52:56,60:8e:08:c4:7f:2c,[15],[-79.0],1
4,4014,center,2018-01-15 03:56:09,60:8e:08:c4:7f:2c,[7],[-85.0],1
5,4014,center,2018-01-15 03:56:15,60:8e:08:c4:7f:2c,[15],[-83.0],1
6,4014,center,2018-01-15 03:56:17,60:8e:08:c4:7f:2c,"[1, 8]","[-86.0, -86.5]",2
7,4014,center,2018-01-15 03:56:18,60:8e:08:c4:7f:2c,"[4, 5]","[-85.33333333333333, -70.57142857142857]",2
8,4014,center,2018-01-15 03:56:21,60:8e:08:c4:7f:2c,[7],[-86.5],1
9,4014,center,2018-01-15 03:56:22,60:8e:08:c4:7f:2c,[14],[-86.28571428571429],1
10,4014,center,2018-01-15 03:56:34,60:8e:08:c4:7f:2c,[16],[-81.8],1
11,4014,center,2018-01-15 03:56:35,60:8e:08:c4:7f:2c,"[7, 10]","[-80.33333333333333, -86.0]",2
12,4014,center,2018-01-15 03:56:38,60:8e:08:c4:7f:2c,[15],[-79.8],1
13,4014,center,2018-01-15 03:56:42,60:8e:08:c4:7f:2c,"[4, 5, 8]","[-81.0, -67.25, -86.5]",3
14,4014,center,2018-01-15 03:56:46,60:8e:08:c4:7f:2c,[14],[-82.5],1
15,4014,center,2018-01-15 03:56:47,60:8e:08:c4:7f:2c,[1],[-85.0],1
16,4014,center,2018-01-15 03:57:23,60:8e:08:c4:7f:2c,[10],[-87.0],1
17,4014,center,2018-01-15 03:57:27,60:8e:08:c4:7f:2c,[1],[-82.33333333333333],1
18,4014,center,2018-01-15 03:57:29,60:8e:08:c4:7f:2c,"[5, 7]","[-60.0, -82.25]",2
19,4014,center,2018-01-15 03:57:30,60:8e:08:c4:7f:2c,[8],[-80.0],1
20,4014,center,2018-01-15 03:57:31,60:8e:08:c4:7f:2c,[15],[-61.5],1
21,4014,center,2018-01-15 03:57:39,60:8e:08:c4:7f:2c,[14],[-79.66666666666667],1
22,4014,center,2018-01-15 03:57:57,60:8e:08:c4:7f:2c,[16],[-85.33333333333333],1
23,4014,center,2018-01-15 03:58:32,60:8e:08:c4:7f:2c,"[4, 8, 10]","[-67.71428571428571, -60.4, -84.25]",3
24,4014,center,2018-01-15 03:58:36,60:8e:08:c4:7f:2c,[7],[-58.36363636363637],1
25,4014,center,2018-01-15 03:58:37,60:8e:08:c4:7f:2c,[5],[-85.0],1
26,4014,center,2018-01-15 03:58:47,60:8e:08:c4:7f:2c,"[1, 10, 12]","[-72.2, -87.0, -80.66666666666667]",3
27,4014,center,2018-01-15 03:58:58,60:8e:08:c4:7f:2c,[8],[-49.5],1
28,4014,center,2018-01-15 03:59:00,60:8e:08:c4:7f:2c,[4],[-56.666666666666664],1
29,4014,center,2018-01-15 03:59:01,60:8e:08:c4:7f:2c,[7],[-82.0],1
30,4014,center,2018-01-15 03:59:02,60:8e:08:c4:7f:2c,[10],[-76.5],1
31,4014,center,2018-01-15 03:59:09,60:8e:08:c4:7f:2c,"[5, 12]","[-71.5, -77.5]",2
32,4014,center,2018-01-15 03:59:11,60:8e:08:c4:7f:2c,"[1, 4, 14]","[-50.0, -58.666666666666664, -80.0]",3
33,4014,center,2018-01-15 03:59:12,60:8e:08:c4:7f:2c,[8],[-59.0],1
34,4014,center,2018-01-15 03:59:13,60:8e:08:c4:7f:2c,[13],[-73.75],1
35,4014,center,2018-01-15 03:59:15,60:8e:08:c4:7f:2c,[7],[-79.0],1
36,4014,center,2018-01-15 03:59:36,60:8e:08:c4:7f:2c,[14],[-86.5],1
37,4014,center,2018-01-15 03:59:37,60:8e:08:c4:7f:2c,[12],[-82.5],1
38,4014,center,2018-01-15 03:59:40,60:8e:08:c4:7f:2c,"[4, 8]","[-83.5, -65.5]",2
39,4014,center,2018-01-15 03:59:41,60:8e:08:c4:7f:2c,[10],[-78.75],1
40,4014,center,2018-01-15 03:59:42,60:8e:08:c4:7f:2c,[1],[-61.0],1
41,4014,center,2018-01-15 03:59:47,60:8e:08:c4:7f:2c,[13],[-78.0],1
42,4014,center,2018-01-15 03:59:50,60:8e:08:c4:7f:2c,[7],[-86.0],1
43,4014,center,2018-01-15 03:59:51,60:8e:08:c4:7f:2c,[6],[-83.0],1
44,4014,center,2018-01-15 03:59:56,60:8e:08:c4:7f:2c,[5],[-76.44444444444444],1
45,4014,center,2018-01-15 04:00:00,60:8e:08:c4:7f:2c,[10],[-76.8],1
46,4014,center,2018-01-15 04:00:10,60:8e:08:c4:7f:2c,[10],[-74.0],1
