,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-04 11:04:56,e4:47:90:6c:d7:be,[8],[-91.0],1
1,4014,center,2018-01-04 11:10:14,e4:47:90:6c:d7:be,[9],[-82.7],1
2,4014,center,2018-01-04 11:10:15,e4:47:90:6c:d7:be,"[8, 13]","[-74.06451612903226, -82.95652173913044]",2
3,4014,center,2018-01-04 11:10:16,e4:47:90:6c:d7:be,[12],[-84.54545454545455],1
4,4014,center,2018-01-04 11:10:27,e4:47:90:6c:d7:be,[8],[-82.42105263157895],1
5,4014,center,2018-01-04 11:10:38,e4:47:90:6c:d7:be,[9],[-85.73333333333333],1
6,4014,center,2018-01-04 11:10:41,e4:47:90:6c:d7:be,"[8, 12]","[-76.6470588235294, -85.5]",2
7,4014,center,2018-01-04 11:10:43,e4:47:90:6c:d7:be,[9],[-80.88235294117646],1
8,4014,center,2018-01-04 11:10:47,e4:47:90:6c:d7:be,[13],[-85.58333333333333],1
9,4014,center,2018-01-04 11:10:48,e4:47:90:6c:d7:be,"[8, 12]","[-81.0, -83.0]",2
10,4014,center,2018-01-04 11:10:58,e4:47:90:6c:d7:be,[10],[-85.0],1
11,4014,center,2018-01-04 11:10:59,e4:47:90:6c:d7:be,"[8, 13]","[-75.68181818181819, -84.76470588235294]",2
12,4014,center,2018-01-04 11:11:00,e4:47:90:6c:d7:be,[12],[-82.42857142857143],1
13,4014,center,2018-01-04 11:11:04,e4:47:90:6c:d7:be,[9],[-83.875],1
14,4014,center,2018-01-04 11:11:06,e4:47:90:6c:d7:be,[12],[-80.9],1
15,4014,center,2018-01-04 11:11:13,e4:47:90:6c:d7:be,[8],[-78.42857142857143],1
16,4014,center,2018-01-04 11:11:16,e4:47:90:6c:d7:be,[9],[-81.21052631578948],1
17,4014,center,2018-01-04 11:11:19,e4:47:90:6c:d7:be,"[12, 13]","[-82.7, -85.0]",2
18,4014,center,2018-01-04 11:11:27,e4:47:90:6c:d7:be,[8],[-75.52],1
19,4014,center,2018-01-04 11:11:28,e4:47:90:6c:d7:be,[11],[-88.0],1
