,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-20 07:19:25,f4:f1:e1:26:7b:06,[11],[-87.0],1
1,4014,center,2017-12-20 07:19:27,f4:f1:e1:26:7b:06,[10],[-74.04761904761905],1
2,4014,center,2017-12-20 07:19:40,f4:f1:e1:26:7b:06,[9],[-85.22222222222223],1
3,4014,center,2017-12-20 07:19:43,f4:f1:e1:26:7b:06,"[8, 11, 16]","[-78.65853658536585, -85.91304347826087, -86.41935483870968]",3
4,4014,center,2017-12-20 07:19:45,f4:f1:e1:26:7b:06,"[9, 10]","[-86.0, -86.83333333333333]",2
5,4014,center,2017-12-20 07:19:47,f4:f1:e1:26:7b:06,[8],[-72.04477611940298],1
6,4014,center,2017-12-20 07:19:49,f4:f1:e1:26:7b:06,[15],[-82.74358974358974],1
7,4014,center,2017-12-20 07:19:50,f4:f1:e1:26:7b:06,"[12, 14]","[-80.02941176470588, -87.33333333333333]",2
8,4014,center,2017-12-20 07:20:32,f4:f1:e1:26:7b:06,"[8, 12]","[-61.2, -84.05]",2
9,4014,center,2017-12-20 07:20:34,f4:f1:e1:26:7b:06,[10],[-84.5],1
10,4014,center,2017-12-20 07:20:35,f4:f1:e1:26:7b:06,[13],[-81.45454545454545],1
11,4014,center,2017-12-20 07:20:36,f4:f1:e1:26:7b:06,"[8, 10, 15]","[-68.0, -79.5, -84.15384615384616]",3
12,4014,center,2017-12-20 07:20:37,f4:f1:e1:26:7b:06,"[12, 14]","[-85.0, -72.71875]",2
13,4014,center,2017-12-20 07:20:39,f4:f1:e1:26:7b:06,[13],[-80.6],1
14,4014,center,2017-12-20 07:20:43,f4:f1:e1:26:7b:06,[10],[-86.5],1
15,4014,center,2017-12-20 07:20:44,f4:f1:e1:26:7b:06,"[13, 14]","[-86.6, -87.0]",2
16,4014,center,2017-12-20 07:20:45,f4:f1:e1:26:7b:06,[8],[-62.24],1
17,4014,center,2017-12-20 07:20:52,f4:f1:e1:26:7b:06,[12],[-76.23684210526316],1
