,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-18 07:53:43,5c:99:60:39:3e:c6,[8],[-83.83333333333333],1
1,4014,center,2018-01-18 07:53:50,5c:99:60:39:3e:c6,[7],[-83.33333333333333],1
2,4014,center,2018-01-18 07:53:55,5c:99:60:39:3e:c6,[4],[-83.88888888888889],1
3,4014,center,2018-01-18 07:57:38,5c:99:60:39:3e:c6,[7],[-84.22222222222223],1
4,4014,center,2018-01-18 07:57:39,5c:99:60:39:3e:c6,"[4, 8]","[-76.23076923076923, -84.25]",2
5,4014,center,2018-01-18 07:57:43,5c:99:60:39:3e:c6,[1],[-84.875],1
6,4014,center,2018-01-18 07:57:50,5c:99:60:39:3e:c6,"[4, 8]","[-79.72727272727273, -85.25]",2
7,4014,center,2018-01-18 07:57:51,5c:99:60:39:3e:c6,[7],[-84.5],1
8,4014,center,2018-01-18 07:58:00,5c:99:60:39:3e:c6,"[4, 8]","[-83.25, -85.0]",2
9,4014,center,2018-01-18 07:58:04,5c:99:60:39:3e:c6,[7],[-85.5],1
10,4014,center,2018-01-18 07:58:14,5c:99:60:39:3e:c6,"[4, 8]","[-81.0, -87.0]",2
11,4014,center,2018-01-18 07:58:18,5c:99:60:39:3e:c6,[7],[-84.75],1
12,4014,center,2018-01-18 07:58:25,5c:99:60:39:3e:c6,[1],[-87.0],1
13,4014,center,2018-01-18 07:58:28,5c:99:60:39:3e:c6,"[4, 8]","[-80.80952380952381, -84.70588235294117]",2
14,4014,center,2018-01-18 07:58:36,5c:99:60:39:3e:c6,[7],[-86.15384615384616],1
15,4014,center,2018-01-18 07:58:39,5c:99:60:39:3e:c6,[4],[-77.73076923076923],1
16,4014,center,2018-01-18 07:58:40,5c:99:60:39:3e:c6,[8],[-83.72727272727273],1
17,4014,center,2018-01-18 07:58:47,5c:99:60:39:3e:c6,[7],[-83.85714285714286],1
18,4014,center,2018-01-18 07:58:49,5c:99:60:39:3e:c6,"[4, 8]","[-79.76, -82.33333333333333]",2
19,4014,center,2018-01-18 07:58:54,5c:99:60:39:3e:c6,[1],[-86.0],1
20,4014,center,2018-01-18 07:58:56,5c:99:60:39:3e:c6,[7],[-85.4],1
21,4014,center,2018-01-18 07:58:57,5c:99:60:39:3e:c6,"[4, 8]","[-79.46153846153847, -82.23809523809524]",2
22,4014,center,2018-01-18 07:59:02,5c:99:60:39:3e:c6,[1],[-85.66666666666667],1
23,4014,center,2018-01-18 07:59:05,5c:99:60:39:3e:c6,"[4, 8]","[-78.63157894736842, -83.375]",2
24,4014,center,2018-01-18 07:59:06,5c:99:60:39:3e:c6,[7],[-84.66666666666667],1
25,4014,center,2018-01-18 07:59:08,5c:99:60:39:3e:c6,[4],[-77.53846153846153],1
26,4014,center,2018-01-18 07:59:09,5c:99:60:39:3e:c6,"[7, 8]","[-85.625, -83.11111111111111]",2
27,4014,center,2018-01-18 07:59:13,5c:99:60:39:3e:c6,[8],[-83.7],1
28,4014,center,2018-01-18 07:59:14,5c:99:60:39:3e:c6,[1],[-85.0],1
29,4014,center,2018-01-18 07:59:15,5c:99:60:39:3e:c6,[4],[-82.22222222222223],1
30,4014,center,2018-01-18 07:59:18,5c:99:60:39:3e:c6,"[4, 8]","[-79.2, -83.125]",2
31,4014,center,2018-01-18 07:59:22,5c:99:60:39:3e:c6,[7],[-85.53846153846153],1
32,4014,center,2018-01-18 07:59:26,5c:99:60:39:3e:c6,[7],[-85.25],1
33,4014,center,2018-01-18 07:59:28,5c:99:60:39:3e:c6,[4],[-80.83333333333333],1
34,4014,center,2018-01-18 07:59:29,5c:99:60:39:3e:c6,[8],[-83.83333333333333],1
35,4014,center,2018-01-18 07:59:31,5c:99:60:39:3e:c6,[1],[-85.3076923076923],1
36,4014,center,2018-01-18 07:59:40,5c:99:60:39:3e:c6,[7],[-84.21428571428571],1
37,4014,center,2018-01-18 07:59:43,5c:99:60:39:3e:c6,"[4, 8]","[-79.11764705882354, -84.45454545454545]",2
38,4014,center,2018-01-18 07:59:53,5c:99:60:39:3e:c6,[7],[-83.81481481481481],1
39,4014,center,2018-01-18 07:59:56,5c:99:60:39:3e:c6,[1],[-85.33333333333333],1
40,4014,center,2018-01-18 07:59:57,5c:99:60:39:3e:c6,[4],[-78.6896551724138],1
41,4014,center,2018-01-18 07:59:58,5c:99:60:39:3e:c6,[8],[-85.54545454545455],1
42,4014,center,2018-01-18 08:00:14,5c:99:60:39:3e:c6,[8],[-83.66666666666667],1
43,4014,center,2018-01-18 08:00:19,5c:99:60:39:3e:c6,[1],[-86.75],1
44,4014,center,2018-01-18 08:00:30,5c:99:60:39:3e:c6,[4],[-84.0],1
45,4014,center,2018-01-18 08:00:32,5c:99:60:39:3e:c6,[1],[-86.0],1
46,4014,center,2018-01-18 08:00:36,5c:99:60:39:3e:c6,[7],[-83.6875],1
47,4014,center,2018-01-18 08:00:37,5c:99:60:39:3e:c6,[8],[-86.1],1
48,4014,center,2018-01-18 08:00:41,5c:99:60:39:3e:c6,[4],[-77.77777777777777],1
