,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-01 04:24:23,40:49:0f:b7:52:6a,[15],[-47.0],1
1,4014,center,2018-01-01 04:24:32,40:49:0f:b7:52:6a,[16],[-82.66666666666667],1
2,4014,center,2018-01-01 04:24:38,40:49:0f:b7:52:6a,[14],[-47.5],1
3,4014,center,2018-01-01 04:24:54,40:49:0f:b7:52:6a,[15],[-47.2],1
4,4014,center,2018-01-01 04:25:04,40:49:0f:b7:52:6a,[16],[-82.2],1
5,4014,center,2018-01-01 04:25:05,40:49:0f:b7:52:6a,[14],[-45.833333333333336],1
6,4014,center,2018-01-01 04:25:25,40:49:0f:b7:52:6a,"[14, 15, 16]","[-46.75, -47.25, -81.4]",3
7,4014,center,2018-01-01 04:25:45,40:49:0f:b7:52:6a,[14],[-46.5],1
8,4014,center,2018-01-01 04:25:47,40:49:0f:b7:52:6a,[15],[-47.0],1
9,4014,center,2018-01-01 04:25:49,40:49:0f:b7:52:6a,[16],[-82.0],1
10,4014,center,2018-01-01 04:26:00,40:49:0f:b7:52:6a,[14],[-47.0],1
11,4014,center,2018-01-01 04:26:10,40:49:0f:b7:52:6a,[15],[-47.0],1
12,4014,center,2018-01-01 04:26:11,40:49:0f:b7:52:6a,[16],[-80.8],1
13,4014,center,2018-01-01 04:26:25,40:49:0f:b7:52:6a,[14],[-46.8],1
14,4014,center,2018-01-01 04:26:27,40:49:0f:b7:52:6a,[15],[-47.0],1
15,4014,center,2018-01-01 04:26:36,40:49:0f:b7:52:6a,[16],[-83.0],1
16,4014,center,2018-01-01 04:26:42,40:49:0f:b7:52:6a,[14],[-46.75],1
17,4014,center,2018-01-01 04:26:46,40:49:0f:b7:52:6a,[15],[-47.0],1
18,4014,center,2018-01-01 04:26:57,40:49:0f:b7:52:6a,[14],[-47.0],1
19,4014,center,2018-01-01 04:26:58,40:49:0f:b7:52:6a,[16],[-81.4],1
20,4014,center,2018-01-01 04:27:00,40:49:0f:b7:52:6a,[15],[-47.0],1
21,4014,center,2018-01-01 04:27:02,40:49:0f:b7:52:6a,[14],[-48.0],1
22,4014,center,2018-01-01 04:27:13,40:49:0f:b7:52:6a,[16],[-81.75],1
23,4014,center,2018-01-01 04:27:16,40:49:0f:b7:52:6a,[15],[-47.0],1
24,4014,center,2018-01-01 04:27:17,40:49:0f:b7:52:6a,[14],[-45.0],1
25,4014,center,2018-01-01 04:27:32,40:49:0f:b7:52:6a,[16],[-83.0],1
26,4014,center,2018-01-01 04:27:45,40:49:0f:b7:52:6a,"[14, 15]","[-46.4, -47.6]",2
27,4014,center,2018-01-01 04:27:59,40:49:0f:b7:52:6a,"[14, 16]","[-47.0, -82.25]",2
28,4014,center,2018-01-01 04:28:02,40:49:0f:b7:52:6a,[15],[-47.333333333333336],1
29,4014,center,2018-01-01 04:28:17,40:49:0f:b7:52:6a,[14],[-45.5],1
30,4014,center,2018-01-01 04:28:22,40:49:0f:b7:52:6a,[16],[-82.5],1
31,4014,center,2018-01-01 04:28:32,40:49:0f:b7:52:6a,[15],[-47.75],1
32,4014,center,2018-01-01 04:28:37,40:49:0f:b7:52:6a,[14],[-48.333333333333336],1
33,4014,center,2018-01-01 04:28:47,40:49:0f:b7:52:6a,[16],[-80.4],1
34,4014,center,2018-01-01 04:28:49,40:49:0f:b7:52:6a,[15],[-47.0],1
35,4014,center,2018-01-01 04:28:56,40:49:0f:b7:52:6a,[14],[-48.0],1
36,4014,center,2018-01-01 04:29:05,40:49:0f:b7:52:6a,[16],[-80.0],1
37,4014,center,2018-01-01 04:29:06,40:49:0f:b7:52:6a,[15],[-47.666666666666664],1
38,4014,center,2018-01-01 04:29:17,40:49:0f:b7:52:6a,[14],[-47.666666666666664],1
39,4014,center,2018-01-01 04:29:27,40:49:0f:b7:52:6a,[16],[-83.0],1
40,4014,center,2018-01-01 04:29:35,40:49:0f:b7:52:6a,"[14, 15]","[-48.166666666666664, -49.25]",2
41,4014,center,2018-01-01 04:29:50,40:49:0f:b7:52:6a,"[15, 16]","[-47.0, -81.6]",2
42,4014,center,2018-01-01 04:29:51,40:49:0f:b7:52:6a,[14],[-47.666666666666664],1
