,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-09 00:01:09,40:88:05:27:ca:3f,[13],[-81.89473684210526],1
1,4014,center,2018-01-09 00:01:22,40:88:05:27:ca:3f,[1],[-69.60975609756098],1
2,4014,center,2018-01-09 00:01:24,40:88:05:27:ca:3f,[12],[-84.2],1
3,4014,center,2018-01-09 00:01:26,40:88:05:27:ca:3f,"[6, 8]","[-73.4, -66.69565217391305]",2
4,4014,center,2018-01-09 00:01:41,40:88:05:27:ca:3f,"[2, 4]","[-74.60714285714286, -81.03030303030303]",2
5,4014,center,2018-01-09 00:01:45,40:88:05:27:ca:3f,[9],[-83.47222222222223],1
6,4014,center,2018-01-09 00:01:56,40:88:05:27:ca:3f,[7],[-84.8],1
7,4014,center,2018-01-09 00:02:09,40:88:05:27:ca:3f,[13],[-81.57894736842105],1
8,4014,center,2018-01-09 00:02:11,40:88:05:27:ca:3f,[5],[-67.02631578947368],1
9,4014,center,2018-01-09 00:02:41,40:88:05:27:ca:3f,[1],[-69.67441860465117],1
10,4014,center,2018-01-09 00:02:56,40:88:05:27:ca:3f,"[6, 12, 14]","[-73.32432432432432, -84.52631578947368, -87.0]",3
11,4014,center,2018-01-09 00:03:13,40:88:05:27:ca:3f,[8],[-66.95652173913044],1
12,4014,center,2018-01-09 00:03:18,40:88:05:27:ca:3f,[4],[-80.81481481481481],1
13,4014,center,2018-01-09 00:03:19,40:88:05:27:ca:3f,[2],[-74.60416666666667],1
14,4014,center,2018-01-09 00:03:26,40:88:05:27:ca:3f,[13],[-80.96],1
15,4014,center,2018-01-09 00:03:36,40:88:05:27:ca:3f,[9],[-84.26086956521739],1
16,4014,center,2018-01-09 00:03:38,40:88:05:27:ca:3f,[7],[-85.7],1
17,4014,center,2018-01-09 00:03:51,40:88:05:27:ca:3f,[1],[-67.36111111111111],1
18,4014,center,2018-01-09 00:03:56,40:88:05:27:ca:3f,[5],[-66.49090909090908],1
19,4014,center,2018-01-09 00:04:11,40:88:05:27:ca:3f,[12],[-82.70833333333333],1
20,4014,center,2018-01-09 00:04:26,40:88:05:27:ca:3f,"[6, 8, 13]","[-73.29545454545455, -68.41666666666667, -79.78260869565217]",3
21,4014,center,2018-01-09 00:04:41,40:88:05:27:ca:3f,[2],[-74.78378378378379],1
22,4014,center,2018-01-09 00:04:48,40:88:05:27:ca:3f,[4],[-79.51515151515152],1
23,4014,center,2018-01-09 00:04:59,40:88:05:27:ca:3f,[9],[-85.95],1
24,4014,center,2018-01-09 00:05:07,40:88:05:27:ca:3f,[7],[-86.05263157894737],1
25,4014,center,2018-01-09 00:05:08,40:88:05:27:ca:3f,[1],[-69.16129032258064],1
26,4014,center,2018-01-09 00:05:26,40:88:05:27:ca:3f,"[13, 14]","[-80.19047619047619, -86.46666666666667]",2
27,4014,center,2018-01-09 00:05:29,40:88:05:27:ca:3f,[12],[-82.19047619047619],1
28,4014,center,2018-01-09 00:05:41,40:88:05:27:ca:3f,[8],[-71.27272727272727],1
29,4014,center,2018-01-09 00:05:51,40:88:05:27:ca:3f,"[5, 6]","[-69.9375, -74.34285714285714]",2
30,4014,center,2018-01-09 00:05:56,40:88:05:27:ca:3f,[2],[-76.41379310344827],1
31,4014,center,2018-01-09 00:05:58,40:88:05:27:ca:3f,[4],[-78.35483870967742],1
32,4014,center,2018-01-09 00:06:11,40:88:05:27:ca:3f,[1],[-58.13333333333333],1
33,4014,center,2018-01-09 00:06:26,40:88:05:27:ca:3f,"[9, 13]","[-85.64285714285714, -81.6]",2
34,4014,center,2018-01-09 00:06:42,40:88:05:27:ca:3f,[12],[-81.46153846153847],1
35,4014,center,2018-01-09 00:06:54,40:88:05:27:ca:3f,[8],[-73.66666666666667],1
36,4014,center,2018-01-09 00:07:00,40:88:05:27:ca:3f,"[2, 6]","[-77.64285714285714, -78.82142857142857]",2
37,4014,center,2018-01-09 00:07:10,40:88:05:27:ca:3f,"[5, 14]","[-74.0, -85.45454545454545]",2
38,4014,center,2018-01-09 00:07:11,40:88:05:27:ca:3f,[4],[-80.41176470588235],1
39,4014,center,2018-01-09 00:07:12,40:88:05:27:ca:3f,[1],[-73.14285714285714],1
40,4014,center,2018-01-09 00:07:20,40:88:05:27:ca:3f,[13],[-85.17647058823529],1
41,4014,center,2018-01-09 00:07:27,40:88:05:27:ca:3f,[9],[-83.6],1
42,4014,center,2018-01-09 00:07:40,40:88:05:27:ca:3f,"[7, 12]","[-85.84210526315789, -82.71875]",2
43,4014,center,2018-01-09 00:07:41,40:88:05:27:ca:3f,[8],[-71.19298245614036],1
44,4014,center,2018-01-09 00:07:48,40:88:05:27:ca:3f,[2],[-75.36],1
45,4014,center,2018-01-09 00:07:51,40:88:05:27:ca:3f,[6],[-81.23404255319149],1
46,4014,center,2018-01-09 00:07:56,40:88:05:27:ca:3f,[5],[-74.32307692307693],1
47,4014,center,2018-01-09 00:07:59,40:88:05:27:ca:3f,[4],[-79.52380952380952],1
48,4014,center,2018-01-09 00:08:02,40:88:05:27:ca:3f,[1],[-71.8360655737705],1
49,4014,center,2018-01-09 00:08:03,40:88:05:27:ca:3f,[13],[-83.38461538461539],1
50,4014,center,2018-01-09 00:08:24,40:88:05:27:ca:3f,[14],[-89.0],1
51,4014,center,2018-01-09 00:08:26,40:88:05:27:ca:3f,"[9, 12]","[-84.06896551724138, -80.96875]",2
52,4014,center,2018-01-09 00:08:27,40:88:05:27:ca:3f,[8],[-67.53225806451613],1
53,4014,center,2018-01-09 00:08:29,40:88:05:27:ca:3f,[2],[-78.0],1
54,4014,center,2018-01-09 00:08:40,40:88:05:27:ca:3f,"[1, 7]","[-71.74, -85.8]",2
55,4014,center,2018-01-09 00:08:41,40:88:05:27:ca:3f,[6],[-78.875],1
56,4014,center,2018-01-09 00:08:42,40:88:05:27:ca:3f,"[4, 13]","[-78.84444444444445, -85.86363636363636]",2
57,4014,center,2018-01-09 00:08:49,40:88:05:27:ca:3f,[5],[-73.7090909090909],1
58,4014,center,2018-01-09 00:09:11,40:88:05:27:ca:3f,[12],[-78.90697674418605],1
59,4014,center,2018-01-09 00:09:12,40:88:05:27:ca:3f,[8],[-70.36842105263158],1
60,4014,center,2018-01-09 00:09:20,40:88:05:27:ca:3f,[2],[-77.54761904761905],1
61,4014,center,2018-01-09 00:09:26,40:88:05:27:ca:3f,[9],[-87.0],1
62,4014,center,2018-01-09 00:09:27,40:88:05:27:ca:3f,"[1, 13]","[-71.96875, -85.63636363636364]",2
63,4014,center,2018-01-09 00:09:39,40:88:05:27:ca:3f,[4],[-79.53488372093024],1
64,4014,center,2018-01-09 00:09:40,40:88:05:27:ca:3f,[7],[-87.66666666666667],1
65,4014,center,2018-01-09 00:09:41,40:88:05:27:ca:3f,"[5, 6]","[-73.62295081967213, -78.04166666666667]",2
66,4014,center,2018-01-09 00:10:00,40:88:05:27:ca:3f,[8],[-70.38461538461539],1
67,4014,center,2018-01-09 00:10:02,40:88:05:27:ca:3f,"[2, 12]","[-76.7872340425532, -79.825]",2
68,4014,center,2018-01-09 00:10:07,40:88:05:27:ca:3f,[1],[-72.87272727272727],1
69,4014,center,2018-01-09 00:10:11,40:88:05:27:ca:3f,"[9, 13]","[-86.77777777777777, -85.47619047619048]",2
70,4014,center,2018-01-09 00:10:18,40:88:05:27:ca:3f,[4],[-80.51612903225806],1
71,4014,center,2018-01-09 00:10:25,40:88:05:27:ca:3f,[6],[-76.48837209302326],1
72,4014,center,2018-01-09 00:10:26,40:88:05:27:ca:3f,"[5, 7]","[-74.70454545454545, -87.0]",2
