,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-14 04:05:26,40:49:0f:b7:52:6a,"[5, 14]","[-79.0, -48.0]",2
1,4014,center,2018-01-14 04:05:27,40:49:0f:b7:52:6a,[16],[-81.0],1
2,4014,center,2018-01-14 04:05:31,40:49:0f:b7:52:6a,[15],[-46.0],1
3,4014,center,2018-01-14 04:05:34,40:49:0f:b7:52:6a,[14],[-46.0],1
4,4014,center,2018-01-14 04:05:37,40:49:0f:b7:52:6a,[5],[-81.0],1
5,4014,center,2018-01-14 04:05:39,40:49:0f:b7:52:6a,[16],[-81.5],1
6,4014,center,2018-01-14 04:05:43,40:49:0f:b7:52:6a,[1],[-86.5],1
7,4014,center,2018-01-14 04:05:53,40:49:0f:b7:52:6a,[5],[-81.0],1
8,4014,center,2018-01-14 04:05:54,40:49:0f:b7:52:6a,[14],[-47.666666666666664],1
9,4014,center,2018-01-14 04:05:57,40:49:0f:b7:52:6a,[15],[-47.0],1
10,4014,center,2018-01-14 04:06:11,40:49:0f:b7:52:6a,[1],[-84.5],1
11,4014,center,2018-01-14 04:06:13,40:49:0f:b7:52:6a,[5],[-78.25],1
12,4014,center,2018-01-14 04:06:16,40:49:0f:b7:52:6a,[16],[-81.0],1
13,4014,center,2018-01-14 04:06:22,40:49:0f:b7:52:6a,[14],[-47.8],1
14,4014,center,2018-01-14 04:06:26,40:49:0f:b7:52:6a,"[1, 5]","[-86.0, -77.66666666666667]",2
15,4014,center,2018-01-14 04:06:27,40:49:0f:b7:52:6a,[15],[-46.0],1
16,4014,center,2018-01-14 04:06:33,40:49:0f:b7:52:6a,[14],[-46.0],1
17,4014,center,2018-01-14 04:06:35,40:49:0f:b7:52:6a,"[1, 5]","[-85.0, -79.5]",2
18,4014,center,2018-01-14 04:06:42,40:49:0f:b7:52:6a,[16],[-81.16666666666667],1
19,4014,center,2018-01-14 04:06:46,40:49:0f:b7:52:6a,[5],[-79.0],1
20,4014,center,2018-01-14 04:06:47,40:49:0f:b7:52:6a,[15],[-46.0],1
21,4014,center,2018-01-14 04:06:48,40:49:0f:b7:52:6a,[1],[-86.0],1
22,4014,center,2018-01-14 04:06:49,40:49:0f:b7:52:6a,[14],[-46.0],1
23,4014,center,2018-01-14 04:06:55,40:49:0f:b7:52:6a,[5],[-78.0],1
24,4014,center,2018-01-14 04:06:59,40:49:0f:b7:52:6a,[1],[-85.0],1
25,4014,center,2018-01-14 04:07:00,40:49:0f:b7:52:6a,[16],[-80.6],1
26,4014,center,2018-01-14 04:07:01,40:49:0f:b7:52:6a,[5],[-81.0],1
27,4014,center,2018-01-14 04:07:11,40:49:0f:b7:52:6a,[14],[-46.25],1
28,4014,center,2018-01-14 04:07:14,40:49:0f:b7:52:6a,[15],[-46.2],1
29,4014,center,2018-01-14 04:07:15,40:49:0f:b7:52:6a,[5],[-80.0],1
30,4014,center,2018-01-14 04:07:20,40:49:0f:b7:52:6a,[1],[-85.0],1
31,4014,center,2018-01-14 04:07:33,40:49:0f:b7:52:6a,"[5, 16]","[-81.25, -81.33333333333333]",2
32,4014,center,2018-01-14 04:07:38,40:49:0f:b7:52:6a,[14],[-48.142857142857146],1
33,4014,center,2018-01-14 04:07:48,40:49:0f:b7:52:6a,[1],[-85.0],1
34,4014,center,2018-01-14 04:07:54,40:49:0f:b7:52:6a,[5],[-79.5],1
35,4014,center,2018-01-14 04:08:04,40:49:0f:b7:52:6a,[15],[-46.625],1
36,4014,center,2018-01-14 04:08:07,40:49:0f:b7:52:6a,[14],[-48.333333333333336],1
37,4014,center,2018-01-14 04:08:08,40:49:0f:b7:52:6a,[16],[-81.4],1
38,4014,center,2018-01-14 04:08:15,40:49:0f:b7:52:6a,"[1, 5]","[-85.25, -79.0]",2
39,4014,center,2018-01-14 04:08:37,40:49:0f:b7:52:6a,"[5, 14]","[-80.66666666666667, -48.285714285714285]",2
40,4014,center,2018-01-14 04:08:41,40:49:0f:b7:52:6a,[1],[-86.5],1
41,4014,center,2018-01-14 04:08:46,40:49:0f:b7:52:6a,[16],[-81.8],1
42,4014,center,2018-01-14 04:08:48,40:49:0f:b7:52:6a,[15],[-48.111111111111114],1
43,4014,center,2018-01-14 04:08:51,40:49:0f:b7:52:6a,[5],[-80.0],1
44,4014,center,2018-01-14 04:08:58,40:49:0f:b7:52:6a,[1],[-85.5],1
45,4014,center,2018-01-14 04:09:05,40:49:0f:b7:52:6a,[14],[-48.42857142857143],1
46,4014,center,2018-01-14 04:09:08,40:49:0f:b7:52:6a,[5],[-82.0],1
47,4014,center,2018-01-14 04:09:12,40:49:0f:b7:52:6a,[16],[-81.4],1
48,4014,center,2018-01-14 04:09:15,40:49:0f:b7:52:6a,[1],[-86.0],1
49,4014,center,2018-01-14 04:09:20,40:49:0f:b7:52:6a,[15],[-46.0],1
50,4014,center,2018-01-14 04:09:21,40:49:0f:b7:52:6a,[5],[-80.0],1
51,4014,center,2018-01-14 04:09:29,40:49:0f:b7:52:6a,[14],[-48.5],1
52,4014,center,2018-01-14 04:09:38,40:49:0f:b7:52:6a,[1],[-84.0],1
53,4014,center,2018-01-14 04:09:44,40:49:0f:b7:52:6a,[5],[-81.0],1
54,4014,center,2018-01-14 04:09:48,40:49:0f:b7:52:6a,[16],[-81.0],1
55,4014,center,2018-01-14 04:10:00,40:49:0f:b7:52:6a,[1],[-85.66666666666667],1
56,4014,center,2018-01-14 04:10:14,40:49:0f:b7:52:6a,[14],[-47.111111111111114],1
57,4014,center,2018-01-14 04:10:15,40:49:0f:b7:52:6a,[15],[-47.25],1
58,4014,center,2018-01-14 04:10:18,40:49:0f:b7:52:6a,[5],[-82.5],1
59,4014,center,2018-01-14 04:10:28,40:49:0f:b7:52:6a,[1],[-85.0],1
60,4014,center,2018-01-14 04:10:40,40:49:0f:b7:52:6a,[16],[-80.9],1
61,4014,center,2018-01-14 04:10:48,40:49:0f:b7:52:6a,"[5, 14]","[-81.0, -48.0]",2
62,4014,center,2018-01-14 04:10:49,40:49:0f:b7:52:6a,[1],[-85.33333333333333],1
63,4014,center,2018-01-14 04:11:04,40:49:0f:b7:52:6a,[15],[-46.6],1
64,4014,center,2018-01-14 04:11:05,40:49:0f:b7:52:6a,[5],[-78.5],1
65,4014,center,2018-01-14 04:11:17,40:49:0f:b7:52:6a,"[1, 14, 16]","[-84.5, -48.142857142857146, -81.71428571428571]",3
66,4014,center,2018-01-14 04:11:22,40:49:0f:b7:52:6a,[5],[-79.75],1
67,4014,center,2018-01-14 04:11:37,40:49:0f:b7:52:6a,[15],[-46.714285714285715],1
68,4014,center,2018-01-14 04:11:38,40:49:0f:b7:52:6a,[5],[-80.0],1
69,4014,center,2018-01-14 04:11:40,40:49:0f:b7:52:6a,"[1, 14]","[-85.0, -48.666666666666664]",2
70,4014,center,2018-01-14 04:11:45,40:49:0f:b7:52:6a,[16],[-81.28571428571429],1
71,4014,center,2018-01-14 04:11:54,40:49:0f:b7:52:6a,[5],[-83.0],1
72,4014,center,2018-01-14 04:12:06,40:49:0f:b7:52:6a,[1],[-84.0],1
73,4014,center,2018-01-14 04:12:08,40:49:0f:b7:52:6a,[14],[-47.833333333333336],1
74,4014,center,2018-01-14 04:12:09,40:49:0f:b7:52:6a,[15],[-46.2],1
75,4014,center,2018-01-14 04:12:11,40:49:0f:b7:52:6a,[5],[-81.33333333333333],1
76,4014,center,2018-01-14 04:12:18,40:49:0f:b7:52:6a,[16],[-81.6],1
77,4014,center,2018-01-14 04:12:22,40:49:0f:b7:52:6a,[1],[-84.0],1
78,4014,center,2018-01-14 04:12:26,40:49:0f:b7:52:6a,[14],[-47.0],1
79,4014,center,2018-01-14 04:12:33,40:49:0f:b7:52:6a,[5],[-83.0],1
80,4014,center,2018-01-14 04:12:45,40:49:0f:b7:52:6a,[15],[-46.44444444444444],1
81,4014,center,2018-01-14 04:12:46,40:49:0f:b7:52:6a,[1],[-85.5],1
82,4014,center,2018-01-14 04:12:57,40:49:0f:b7:52:6a,"[5, 16]","[-83.75, -81.5]",2
83,4014,center,2018-01-14 04:12:59,40:49:0f:b7:52:6a,[14],[-48.22222222222222],1
84,4014,center,2018-01-14 04:13:24,40:49:0f:b7:52:6a,[1],[-83.33333333333333],1
85,4014,center,2018-01-14 04:13:25,40:49:0f:b7:52:6a,[5],[-83.33333333333333],1
86,4014,center,2018-01-14 04:13:27,40:49:0f:b7:52:6a,[15],[-46.666666666666664],1
87,4014,center,2018-01-14 04:13:31,40:49:0f:b7:52:6a,[14],[-48.0],1
88,4014,center,2018-01-14 04:13:32,40:49:0f:b7:52:6a,[16],[-81.125],1
89,4014,center,2018-01-14 04:13:38,40:49:0f:b7:52:6a,[5],[-84.0],1
90,4014,center,2018-01-14 04:13:43,40:49:0f:b7:52:6a,[1],[-84.66666666666667],1
91,4014,center,2018-01-14 04:13:52,40:49:0f:b7:52:6a,[14],[-48.0],1
92,4014,center,2018-01-14 04:13:54,40:49:0f:b7:52:6a,[5],[-82.5],1
93,4014,center,2018-01-14 04:13:58,40:49:0f:b7:52:6a,[1],[-86.0],1
94,4014,center,2018-01-14 04:14:00,40:49:0f:b7:52:6a,[15],[-46.0],1
95,4014,center,2018-01-14 04:14:04,40:49:0f:b7:52:6a,[16],[-81.75],1
96,4014,center,2018-01-14 04:14:17,40:49:0f:b7:52:6a,[1],[-85.0],1
97,4014,center,2018-01-14 04:14:19,40:49:0f:b7:52:6a,[5],[-82.0],1
98,4014,center,2018-01-14 04:14:21,40:49:0f:b7:52:6a,[14],[-48.875],1
99,4014,center,2018-01-14 04:14:32,40:49:0f:b7:52:6a,[5],[-81.0],1
100,4014,center,2018-01-14 04:14:33,40:49:0f:b7:52:6a,"[1, 16]","[-85.0, -82.0]",2
101,4014,center,2018-01-14 04:14:37,40:49:0f:b7:52:6a,[15],[-46.2],1
102,4014,center,2018-01-14 04:14:46,40:49:0f:b7:52:6a,[5],[-83.0],1
103,4014,center,2018-01-14 04:14:47,40:49:0f:b7:52:6a,[14],[-48.142857142857146],1
104,4014,center,2018-01-14 04:14:49,40:49:0f:b7:52:6a,[1],[-85.33333333333333],1
