,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-21 04:40:52,40:49:0f:b7:52:6a,[15],[-51.0],1
1,4014,center,2017-12-21 04:40:55,40:49:0f:b7:52:6a,[14],[-49.0],1
2,4014,center,2017-12-21 04:41:04,40:49:0f:b7:52:6a,[16],[-81.0],1
3,4014,center,2017-12-21 04:41:08,40:49:0f:b7:52:6a,"[14, 15]","[-48.5, -54.0]",2
4,4014,center,2017-12-21 04:41:23,40:49:0f:b7:52:6a,"[14, 16]","[-51.5, -81.66666666666667]",2
5,4014,center,2017-12-21 04:41:24,40:49:0f:b7:52:6a,[15],[-51.0],1
6,4014,center,2017-12-21 04:41:37,40:49:0f:b7:52:6a,[14],[-48.666666666666664],1
7,4014,center,2017-12-21 04:41:38,40:49:0f:b7:52:6a,[16],[-83.0],1
8,4014,center,2017-12-21 04:41:39,40:49:0f:b7:52:6a,[15],[-50.5],1
9,4014,center,2017-12-21 04:41:53,40:49:0f:b7:52:6a,[14],[-49.0],1
10,4014,center,2017-12-21 04:41:54,40:49:0f:b7:52:6a,[16],[-81.66666666666667],1
11,4014,center,2017-12-21 04:42:09,40:49:0f:b7:52:6a,[15],[-51.0],1
12,4014,center,2017-12-21 04:42:10,40:49:0f:b7:52:6a,"[14, 16]","[-47.6, -82.5]",2
13,4014,center,2017-12-21 04:42:26,40:49:0f:b7:52:6a,"[14, 15]","[-48.333333333333336, -51.0]",2
14,4014,center,2017-12-21 04:42:29,40:49:0f:b7:52:6a,[16],[-83.5],1
15,4014,center,2017-12-21 04:42:40,40:49:0f:b7:52:6a,[14],[-52.0],1
16,4014,center,2017-12-21 04:42:41,40:49:0f:b7:52:6a,[15],[-51.5],1
17,4014,center,2017-12-21 04:42:49,40:49:0f:b7:52:6a,[16],[-83.5],1
18,4014,center,2017-12-21 04:42:51,40:49:0f:b7:52:6a,[14],[-48.666666666666664],1
19,4014,center,2017-12-21 04:42:56,40:49:0f:b7:52:6a,[15],[-53.5],1
20,4014,center,2017-12-21 04:43:01,40:49:0f:b7:52:6a,[14],[-48.0],1
21,4014,center,2017-12-21 04:43:12,40:49:0f:b7:52:6a,[16],[-85.66666666666667],1
22,4014,center,2017-12-21 04:43:15,40:49:0f:b7:52:6a,[15],[-51.333333333333336],1
23,4014,center,2017-12-21 04:43:18,40:49:0f:b7:52:6a,[14],[-48.25],1
24,4014,center,2017-12-21 04:43:26,40:49:0f:b7:52:6a,[16],[-84.0],1
25,4014,center,2017-12-21 04:43:33,40:49:0f:b7:52:6a,[14],[-47.5],1
26,4014,center,2017-12-21 04:43:34,40:49:0f:b7:52:6a,[15],[-50.333333333333336],1
27,4014,center,2017-12-21 04:43:39,40:49:0f:b7:52:6a,[16],[-84.5],1
28,4014,center,2017-12-21 04:43:44,40:49:0f:b7:52:6a,[14],[-47.0],1
29,4014,center,2017-12-21 04:43:46,40:49:0f:b7:52:6a,[15],[-53.0],1
30,4014,center,2017-12-21 04:43:59,40:49:0f:b7:52:6a,"[14, 16]","[-47.25, -83.2]",2
31,4014,center,2017-12-21 04:44:00,40:49:0f:b7:52:6a,[15],[-56.0],1
