,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2018-01-13 04:29:38,40:49:0f:b7:52:6a,[5],[-83.0],1
1,4014,center,2018-01-13 04:29:43,40:49:0f:b7:52:6a,[15],[-51.0],1
2,4014,center,2018-01-13 04:29:45,40:49:0f:b7:52:6a,[14],[-47.666666666666664],1
3,4014,center,2018-01-13 04:29:48,40:49:0f:b7:52:6a,[1],[-88.0],1
4,4014,center,2018-01-13 04:29:51,40:49:0f:b7:52:6a,"[5, 16]","[-85.0, -80.4]",2
5,4014,center,2018-01-13 04:30:01,40:49:0f:b7:52:6a,"[14, 15]","[-46.5, -52.0]",2
6,4014,center,2018-01-13 04:30:04,40:49:0f:b7:52:6a,"[1, 5, 16]","[-87.0, -82.0, -80.0]",3
7,4014,center,2018-01-13 04:30:12,40:49:0f:b7:52:6a,[14],[-47.0],1
8,4014,center,2018-01-13 04:30:16,40:49:0f:b7:52:6a,"[5, 15]","[-83.5, -52.0]",2
9,4014,center,2018-01-13 04:30:17,40:49:0f:b7:52:6a,"[1, 16]","[-86.5, -80.75]",2
10,4014,center,2018-01-13 04:30:28,40:49:0f:b7:52:6a,[14],[-47.666666666666664],1
11,4014,center,2018-01-13 04:30:32,40:49:0f:b7:52:6a,[5],[-84.33333333333333],1
12,4014,center,2018-01-13 04:30:33,40:49:0f:b7:52:6a,[16],[-80.75],1
13,4014,center,2018-01-13 04:30:35,40:49:0f:b7:52:6a,[1],[-87.0],1
14,4014,center,2018-01-13 04:30:40,40:49:0f:b7:52:6a,[15],[-51.333333333333336],1
15,4014,center,2018-01-13 04:30:44,40:49:0f:b7:52:6a,[14],[-48.5],1
16,4014,center,2018-01-13 04:30:45,40:49:0f:b7:52:6a,[5],[-84.0],1
17,4014,center,2018-01-13 04:30:55,40:49:0f:b7:52:6a,[1],[-86.0],1
18,4014,center,2018-01-13 04:31:00,40:49:0f:b7:52:6a,"[5, 15, 16]","[-84.0, -52.0, -79.75]",3
