,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-18 14:10:32,96:14:7a:b6:60:29,"[9.0, 10.0, 13.0]","[-82.0, -39.27272727272727, -80.08333333333333]",3
1,4014,center,2017-12-18 14:10:33,96:14:7a:b6:60:29,"[11.0, 12.0]","[-50.214285714285715, -60.90909090909091]",2
2,4014,center,2017-12-18 14:10:34,96:14:7a:b6:60:29,[8.0],[-86.0],1
3,4014,center,2017-12-18 14:10:35,96:14:7a:b6:60:29,[10.0],[-41.108108108108105],1
4,4014,center,2017-12-18 14:10:38,96:14:7a:b6:60:29,"[8.0, 13.0]","[-86.0, -80.35483870967742]",2
5,4014,center,2017-12-18 14:10:40,96:14:7a:b6:60:29,[12.0],[-62.645161290322584],1
6,4014,center,2017-12-18 14:10:41,96:14:7a:b6:60:29,"[10.0, 11.0]","[-42.31818181818182, -53.5]",2
7,4014,center,2017-12-18 14:10:45,96:14:7a:b6:60:29,[13.0],[-80.68055555555556],1
8,4014,center,2017-12-18 14:10:48,96:14:7a:b6:60:29,"[10.0, 12.0]","[-44.07575757575758, -61.67088607594937]",2
9,4014,center,2017-12-18 14:10:51,96:14:7a:b6:60:29,[11.0],[-53.42857142857143],1
10,4014,center,2017-12-18 14:10:52,96:14:7a:b6:60:29,[13.0],[-79.13793103448276],1
11,4014,center,2017-12-18 14:10:53,96:14:7a:b6:60:29,"[9.0, 12.0]","[-82.0, -64.95555555555555]",2
12,4014,center,2017-12-18 14:10:54,96:14:7a:b6:60:29,[10.0],[-41.816326530612244],1
13,4014,center,2017-12-18 14:10:57,96:14:7a:b6:60:29,[11.0],[-54.65384615384615],1
14,4014,center,2017-12-18 14:10:58,96:14:7a:b6:60:29,"[8.0, 13.0]","[-86.33333333333333, -80.01639344262296]",2
15,4014,center,2017-12-18 14:10:59,96:14:7a:b6:60:29,"[10.0, 12.0]","[-43.63265306122449, -59.82142857142857]",2
16,4014,center,2017-12-18 14:11:02,96:14:7a:b6:60:29,"[8.0, 11.0]","[-86.5, -54.5]",2
