,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-25 09:44:44,80:6c:1b:88:d9:91,[11],[-88.33333333333333],1
1,4014,center,2017-12-25 09:44:56,80:6c:1b:88:d9:91,[8],[-80.0],1
2,4014,center,2017-12-25 09:44:58,80:6c:1b:88:d9:91,"[10, 11]","[-86.0, -83.18181818181819]",2
3,4014,center,2017-12-25 09:45:09,80:6c:1b:88:d9:91,"[8, 9]","[-78.47619047619048, -84.5]",2
4,4014,center,2017-12-25 09:45:11,80:6c:1b:88:d9:91,"[10, 11]","[-86.0, -88.0]",2
5,4014,center,2017-12-25 09:45:13,80:6c:1b:88:d9:91,[9],[-81.27272727272727],1
6,4014,center,2017-12-25 09:45:22,80:6c:1b:88:d9:91,[8],[-74.42857142857143],1
7,4014,center,2017-12-25 09:45:24,80:6c:1b:88:d9:91,"[8, 9]","[-68.22222222222223, -87.0]",2
8,4014,center,2017-12-25 09:45:25,80:6c:1b:88:d9:91,[12],[-75.6923076923077],1
9,4014,center,2017-12-25 09:45:38,80:6c:1b:88:d9:91,"[8, 9, 12]","[-67.8108108108108, -83.25, -80.36842105263158]",3
10,4014,center,2017-12-25 09:45:50,80:6c:1b:88:d9:91,[8],[-70.5],1
11,4014,center,2017-12-25 09:45:54,80:6c:1b:88:d9:91,"[9, 12]","[-87.0, -84.125]",2
12,4014,center,2017-12-25 09:45:55,80:6c:1b:88:d9:91,[8],[-68.0],1
13,4014,center,2017-12-25 09:46:06,80:6c:1b:88:d9:91,[8],[-71.12121212121212],1
14,4014,center,2017-12-25 09:46:12,80:6c:1b:88:d9:91,[12],[-81.9090909090909],1
15,4014,center,2017-12-25 09:46:19,80:6c:1b:88:d9:91,[12],[-76.25],1
16,4014,center,2017-12-25 09:46:20,80:6c:1b:88:d9:91,[8],[-74.60714285714286],1
17,4014,center,2017-12-25 09:46:21,80:6c:1b:88:d9:91,[9],[-86.5],1
18,4014,center,2017-12-25 09:46:23,80:6c:1b:88:d9:91,[12],[-77.77777777777777],1
19,4014,center,2017-12-25 09:46:33,80:6c:1b:88:d9:91,[8],[-70.74285714285715],1
20,4014,center,2017-12-25 09:46:34,80:6c:1b:88:d9:91,[12],[-81.4375],1
21,4014,center,2017-12-25 09:46:46,80:6c:1b:88:d9:91,[8],[-75.16],1
22,4014,center,2017-12-25 09:46:47,80:6c:1b:88:d9:91,[12],[-85.27272727272727],1
23,4014,center,2017-12-25 09:47:00,80:6c:1b:88:d9:91,[8],[-74.34285714285714],1
24,4014,center,2017-12-25 09:47:01,80:6c:1b:88:d9:91,"[12, 13]","[-81.47058823529412, -86.0]",2
25,4014,center,2017-12-25 09:47:13,80:6c:1b:88:d9:91,[14],[-82.0],1
26,4014,center,2017-12-25 09:47:15,80:6c:1b:88:d9:91,[13],[-79.9],1
27,4014,center,2017-12-25 09:47:17,80:6c:1b:88:d9:91,[8],[-71.25],1
28,4014,center,2017-12-25 09:47:18,80:6c:1b:88:d9:91,[12],[-81.9090909090909],1
29,4014,center,2017-12-25 09:47:23,80:6c:1b:88:d9:91,[15],[-86.5],1
30,4014,center,2017-12-25 09:47:27,80:6c:1b:88:d9:91,[14],[-80.27272727272727],1
31,4014,center,2017-12-25 09:47:28,80:6c:1b:88:d9:91,[13],[-82.88888888888889],1
32,4014,center,2017-12-25 09:47:29,80:6c:1b:88:d9:91,[8],[-75.92],1
33,4014,center,2017-12-25 09:47:32,80:6c:1b:88:d9:91,[15],[-74.23529411764706],1
34,4014,center,2017-12-25 09:47:35,80:6c:1b:88:d9:91,[14],[-61.857142857142854],1
35,4014,center,2017-12-25 09:47:42,80:6c:1b:88:d9:91,[12],[-82.16666666666667],1
36,4014,center,2017-12-25 09:47:43,80:6c:1b:88:d9:91,"[8, 13]","[-63.4375, -77.95]",2
37,4014,center,2017-12-25 09:47:45,80:6c:1b:88:d9:91,"[10, 14, 15]","[-81.41176470588235, -69.66666666666667, -81.3529411764706]",3
38,4014,center,2017-12-25 09:47:47,80:6c:1b:88:d9:91,[12],[-84.2],1
39,4014,center,2017-12-25 09:47:56,80:6c:1b:88:d9:91,"[8, 13]","[-62.0, -82.57142857142857]",2
40,4014,center,2017-12-25 09:47:58,80:6c:1b:88:d9:91,"[10, 14]","[-82.3157894736842, -87.0]",2
41,4014,center,2017-12-25 09:47:59,80:6c:1b:88:d9:91,[12],[-84.5],1
42,4014,center,2017-12-25 09:48:10,80:6c:1b:88:d9:91,"[8, 14]","[-55.84615384615385, -84.625]",2
43,4014,center,2017-12-25 09:48:11,80:6c:1b:88:d9:91,[10],[-84.15789473684211],1
44,4014,center,2017-12-25 09:48:13,80:6c:1b:88:d9:91,"[12, 13]","[-80.63636363636364, -80.875]",2
45,4014,center,2017-12-25 09:48:24,80:6c:1b:88:d9:91,"[8, 10]","[-66.11764705882354, -84.19047619047619]",2
46,4014,center,2017-12-25 09:48:25,80:6c:1b:88:d9:91,[13],[-81.27272727272727],1
47,4014,center,2017-12-25 09:48:28,80:6c:1b:88:d9:91,[12],[-85.5],1
48,4014,center,2017-12-25 09:48:36,80:6c:1b:88:d9:91,[8],[-65.0],1
49,4014,center,2017-12-25 09:48:37,80:6c:1b:88:d9:91,[13],[-80.78947368421052],1
50,4014,center,2017-12-25 09:48:39,80:6c:1b:88:d9:91,[10],[-82.76190476190476],1
51,4014,center,2017-12-25 09:48:40,80:6c:1b:88:d9:91,[8],[-65.4],1
52,4014,center,2017-12-25 09:48:41,80:6c:1b:88:d9:91,[12],[-85.6],1
53,4014,center,2017-12-25 09:48:51,80:6c:1b:88:d9:91,[10],[-86.0],1
54,4014,center,2017-12-25 09:48:53,80:6c:1b:88:d9:91,[8],[-51.4],1
55,4014,center,2017-12-25 09:48:54,80:6c:1b:88:d9:91,[13],[-80.3],1
56,4014,center,2017-12-25 09:48:55,80:6c:1b:88:d9:91,[14],[-89.0],1
57,4014,center,2017-12-25 09:48:57,80:6c:1b:88:d9:91,[12],[-82.0],1
58,4014,center,2017-12-25 09:49:05,80:6c:1b:88:d9:91,[8],[-53.285714285714285],1
59,4014,center,2017-12-25 09:49:06,80:6c:1b:88:d9:91,[13],[-78.6842105263158],1
60,4014,center,2017-12-25 09:49:09,80:6c:1b:88:d9:91,[8],[-49.111111111111114],1
61,4014,center,2017-12-25 09:49:11,80:6c:1b:88:d9:91,"[12, 14]","[-77.5625, -85.83333333333333]",2
62,4014,center,2017-12-25 09:49:20,80:6c:1b:88:d9:91,[8],[-58.05882352941177],1
63,4014,center,2017-12-25 09:49:22,80:6c:1b:88:d9:91,"[12, 13]","[-77.65, -76.28571428571429]",2
64,4014,center,2017-12-25 09:49:32,80:6c:1b:88:d9:91,"[8, 11]","[-49.541666666666664, -86.66666666666667]",2
65,4014,center,2017-12-25 09:49:34,80:6c:1b:88:d9:91,[12],[-74.32142857142857],1
66,4014,center,2017-12-25 09:49:35,80:6c:1b:88:d9:91,[13],[-83.72727272727273],1
67,4014,center,2017-12-25 09:49:36,80:6c:1b:88:d9:91,[11],[-86.33333333333333],1
68,4014,center,2017-12-25 09:49:37,80:6c:1b:88:d9:91,[8],[-49.0],1
69,4014,center,2017-12-25 09:49:46,80:6c:1b:88:d9:91,[8],[-44.34146341463415],1
70,4014,center,2017-12-25 09:49:48,80:6c:1b:88:d9:91,"[11, 12]","[-82.2, -78.58064516129032]",2
71,4014,center,2017-12-25 09:49:49,80:6c:1b:88:d9:91,[13],[-79.28571428571429],1
72,4014,center,2017-12-25 09:50:01,80:6c:1b:88:d9:91,[10],[-86.4],1
73,4014,center,2017-12-25 09:50:02,80:6c:1b:88:d9:91,"[8, 9, 11]","[-67.10526315789474, -86.4, -75.5625]",3
74,4014,center,2017-12-25 09:50:05,80:6c:1b:88:d9:91,[12],[-82.9090909090909],1
75,4014,center,2017-12-25 09:50:14,80:6c:1b:88:d9:91,[11],[-74.16666666666667],1
76,4014,center,2017-12-25 09:50:15,80:6c:1b:88:d9:91,"[8, 10, 12]","[-59.44444444444444, -82.33333333333333, -84.875]",3
77,4014,center,2017-12-25 09:50:28,80:6c:1b:88:d9:91,[8],[-49.5],1
78,4014,center,2017-12-25 09:50:29,80:6c:1b:88:d9:91,"[9, 13]","[-82.45454545454545, -85.875]",2
79,4014,center,2017-12-25 09:50:30,80:6c:1b:88:d9:91,"[8, 11]","[-47.86486486486486, -82.80952380952381]",2
80,4014,center,2017-12-25 09:50:31,80:6c:1b:88:d9:91,[12],[-77.1923076923077],1
81,4014,center,2017-12-25 09:50:33,80:6c:1b:88:d9:91,[9],[-83.0],1
82,4014,center,2017-12-25 09:50:42,80:6c:1b:88:d9:91,"[8, 11, 12]","[-58.75, -74.23333333333333, -84.72727272727273]",3
83,4014,center,2017-12-25 09:50:43,80:6c:1b:88:d9:91,[10],[-80.0],1
84,4014,center,2017-12-25 09:50:56,80:6c:1b:88:d9:91,[8],[-56.42857142857143],1
85,4014,center,2017-12-25 09:50:57,80:6c:1b:88:d9:91,"[10, 11]","[-83.875, -79.82352941176471]",2
86,4014,center,2017-12-25 09:50:58,80:6c:1b:88:d9:91,[12],[-87.0],1
87,4014,center,2017-12-25 09:51:10,80:6c:1b:88:d9:91,[8],[-61.833333333333336],1
88,4014,center,2017-12-25 09:51:11,80:6c:1b:88:d9:91,"[11, 12]","[-77.22222222222223, -85.38461538461539]",2
