,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-29 04:18:24,40:49:0f:b7:52:6a,[15],[-49.75],1
1,4014,center,2017-12-29 04:18:34,40:49:0f:b7:52:6a,[14],[-44.75],1
2,4014,center,2017-12-29 04:18:36,40:49:0f:b7:52:6a,[16],[-80.2],1
3,4014,center,2017-12-29 04:18:51,40:49:0f:b7:52:6a,[15],[-51.0],1
4,4014,center,2017-12-29 04:18:52,40:49:0f:b7:52:6a,[14],[-45.0],1
5,4014,center,2017-12-29 04:19:04,40:49:0f:b7:52:6a,[16],[-81.25],1
6,4014,center,2017-12-29 04:19:08,40:49:0f:b7:52:6a,"[14, 15]","[-45.0, -50.666666666666664]",2
7,4014,center,2017-12-29 04:19:23,40:49:0f:b7:52:6a,[16],[-80.0],1
8,4014,center,2017-12-29 04:19:38,40:49:0f:b7:52:6a,"[14, 15]","[-45.2, -50.75]",2
9,4014,center,2017-12-29 04:19:48,40:49:0f:b7:52:6a,[16],[-82.0],1
10,4014,center,2017-12-29 04:19:54,40:49:0f:b7:52:6a,"[14, 15]","[-45.0, -51.0]",2
11,4014,center,2017-12-29 04:20:09,40:49:0f:b7:52:6a,[16],[-82.0],1
12,4014,center,2017-12-29 04:20:10,40:49:0f:b7:52:6a,[14],[-46.0],1
13,4014,center,2017-12-29 04:20:12,40:49:0f:b7:52:6a,[15],[-51.0],1
14,4014,center,2017-12-29 04:20:25,40:49:0f:b7:52:6a,[14],[-46.5],1
15,4014,center,2017-12-29 04:20:32,40:49:0f:b7:52:6a,[16],[-80.0],1
16,4014,center,2017-12-29 04:20:35,40:49:0f:b7:52:6a,[15],[-50.833333333333336],1
17,4014,center,2017-12-29 04:20:41,40:49:0f:b7:52:6a,[14],[-45.0],1
18,4014,center,2017-12-29 04:20:53,40:49:0f:b7:52:6a,"[15, 16]","[-50.75, -81.0]",2
19,4014,center,2017-12-29 04:20:57,40:49:0f:b7:52:6a,[14],[-45.0],1
20,4014,center,2017-12-29 04:21:04,40:49:0f:b7:52:6a,[16],[-80.66666666666667],1
21,4014,center,2017-12-29 04:21:07,40:49:0f:b7:52:6a,[15],[-52.333333333333336],1
22,4014,center,2017-12-29 04:21:12,40:49:0f:b7:52:6a,[14],[-44.0],1
23,4014,center,2017-12-29 04:21:28,40:49:0f:b7:52:6a,"[14, 15, 16]","[-45.0, -50.75, -80.0]",3
24,4014,center,2017-12-29 04:21:43,40:49:0f:b7:52:6a,[16],[-81.5],1
25,4014,center,2017-12-29 04:21:44,40:49:0f:b7:52:6a,[14],[-45.0],1
26,4014,center,2017-12-29 04:21:47,40:49:0f:b7:52:6a,[15],[-50.0],1
27,4014,center,2017-12-29 04:22:01,40:49:0f:b7:52:6a,"[15, 16]","[-50.25, -80.5]",2
28,4014,center,2017-12-29 04:22:02,40:49:0f:b7:52:6a,[14],[-45.0],1
29,4014,center,2017-12-29 04:22:17,40:49:0f:b7:52:6a,[14],[-45.0],1
30,4014,center,2017-12-29 04:22:18,40:49:0f:b7:52:6a,[16],[-81.25],1
31,4014,center,2017-12-29 04:22:21,40:49:0f:b7:52:6a,[15],[-50.8],1
32,4014,center,2017-12-29 04:22:32,40:49:0f:b7:52:6a,[14],[-45.0],1
33,4014,center,2017-12-29 04:22:39,40:49:0f:b7:52:6a,"[15, 16]","[-50.666666666666664, -80.75]",2
34,4014,center,2017-12-29 04:22:51,40:49:0f:b7:52:6a,[14],[-44.5],1
35,4014,center,2017-12-29 04:22:55,40:49:0f:b7:52:6a,"[15, 16]","[-50.666666666666664, -79.5]",2
36,4014,center,2017-12-29 04:23:01,40:49:0f:b7:52:6a,[14],[-45.0],1
37,4014,center,2017-12-29 04:23:11,40:49:0f:b7:52:6a,"[15, 16]","[-51.0, -80.5]",2
38,4014,center,2017-12-29 04:23:21,40:49:0f:b7:52:6a,[14],[-45.0],1
39,4014,center,2017-12-29 04:23:29,40:49:0f:b7:52:6a,[16],[-79.33333333333333],1
40,4014,center,2017-12-29 04:23:30,40:49:0f:b7:52:6a,[15],[-50.8],1
41,4014,center,2017-12-29 04:23:33,40:49:0f:b7:52:6a,[14],[-45.0],1
42,4014,center,2017-12-29 04:23:42,40:49:0f:b7:52:6a,"[14, 15, 16]","[-45.0, -51.0, -80.5]",3
43,4014,center,2017-12-29 04:24:00,40:49:0f:b7:52:6a,[15],[-51.0],1
44,4014,center,2017-12-29 04:24:01,40:49:0f:b7:52:6a,"[14, 16]","[-44.333333333333336, -80.66666666666667]",2
45,4014,center,2017-12-29 04:24:09,40:49:0f:b7:52:6a,[14],[-45.0],1
46,4014,center,2017-12-29 04:24:12,40:49:0f:b7:52:6a,[15],[-52.0],1
47,4014,center,2017-12-29 04:24:13,40:49:0f:b7:52:6a,[16],[-81.0],1
48,4014,center,2017-12-29 04:24:29,40:49:0f:b7:52:6a,[14],[-45.25],1
49,4014,center,2017-12-29 04:24:44,40:49:0f:b7:52:6a,"[15, 16]","[-50.142857142857146, -80.6]",2
50,4014,center,2017-12-29 04:25:00,40:49:0f:b7:52:6a,[14],[-44.6],1
51,4014,center,2017-12-29 04:25:04,40:49:0f:b7:52:6a,[15],[-49.666666666666664],1
52,4014,center,2017-12-29 04:25:09,40:49:0f:b7:52:6a,[16],[-81.0],1
53,4014,center,2017-12-29 04:25:16,40:49:0f:b7:52:6a,[14],[-45.0],1
54,4014,center,2017-12-29 04:25:17,40:49:0f:b7:52:6a,[15],[-50.8],1
55,4014,center,2017-12-29 04:25:28,40:49:0f:b7:52:6a,[16],[-81.5],1
56,4014,center,2017-12-29 04:25:34,40:49:0f:b7:52:6a,[14],[-44.666666666666664],1
57,4014,center,2017-12-29 04:25:47,40:49:0f:b7:52:6a,"[15, 16]","[-50.5, -79.5]",2
58,4014,center,2017-12-29 04:25:51,40:49:0f:b7:52:6a,[14],[-45.0],1
59,4014,center,2017-12-29 04:26:02,40:49:0f:b7:52:6a,[15],[-50.333333333333336],1
60,4014,center,2017-12-29 04:26:04,40:49:0f:b7:52:6a,"[14, 16]","[-45.0, -79.5]",2
61,4014,center,2017-12-29 04:26:14,40:49:0f:b7:52:6a,[15],[-50.666666666666664],1
62,4014,center,2017-12-29 04:26:15,40:49:0f:b7:52:6a,[14],[-44.5],1
63,4014,center,2017-12-29 04:26:18,40:49:0f:b7:52:6a,[16],[-80.5],1
64,4014,center,2017-12-29 04:26:30,40:49:0f:b7:52:6a,"[14, 15]","[-44.5, -51.0]",2
65,4014,center,2017-12-29 04:26:34,40:49:0f:b7:52:6a,[16],[-79.5],1
66,4014,center,2017-12-29 04:26:49,40:49:0f:b7:52:6a,[14],[-45.0],1
67,4014,center,2017-12-29 04:26:50,40:49:0f:b7:52:6a,[15],[-50.6],1
68,4014,center,2017-12-29 04:26:53,40:49:0f:b7:52:6a,[16],[-79.66666666666667],1
69,4014,center,2017-12-29 04:27:05,40:49:0f:b7:52:6a,[14],[-45.0],1
70,4014,center,2017-12-29 04:27:09,40:49:0f:b7:52:6a,[15],[-51.4],1
71,4014,center,2017-12-29 04:27:19,40:49:0f:b7:52:6a,[16],[-79.0],1
72,4014,center,2017-12-29 04:27:21,40:49:0f:b7:52:6a,[14],[-45.333333333333336],1
73,4014,center,2017-12-29 04:27:26,40:49:0f:b7:52:6a,[15],[-51.0],1
74,4014,center,2017-12-29 04:27:36,40:49:0f:b7:52:6a,[16],[-80.0],1
75,4014,center,2017-12-29 04:27:40,40:49:0f:b7:52:6a,[14],[-45.0],1
76,4014,center,2017-12-29 04:27:52,40:49:0f:b7:52:6a,[15],[-50.625],1
77,4014,center,2017-12-29 04:28:07,40:49:0f:b7:52:6a,[16],[-82.0],1
78,4014,center,2017-12-29 04:28:08,40:49:0f:b7:52:6a,[14],[-46.0],1
79,4014,center,2017-12-29 04:28:09,40:49:0f:b7:52:6a,[15],[-52.333333333333336],1
80,4014,center,2017-12-29 04:28:17,40:49:0f:b7:52:6a,[14],[-45.0],1
81,4014,center,2017-12-29 04:28:23,40:49:0f:b7:52:6a,[16],[-81.75],1
82,4014,center,2017-12-29 04:28:25,40:49:0f:b7:52:6a,[15],[-49.333333333333336],1
83,4014,center,2017-12-29 04:28:29,40:49:0f:b7:52:6a,[14],[-45.0],1
84,4014,center,2017-12-29 04:28:35,40:49:0f:b7:52:6a,[16],[-80.0],1
85,4014,center,2017-12-29 04:28:41,40:49:0f:b7:52:6a,[15],[-50.666666666666664],1
86,4014,center,2017-12-29 04:28:46,40:49:0f:b7:52:6a,[14],[-45.0],1
87,4014,center,2017-12-29 04:28:54,40:49:0f:b7:52:6a,[16],[-80.33333333333333],1
88,4014,center,2017-12-29 04:29:10,40:49:0f:b7:52:6a,[14],[-45.0],1
89,4014,center,2017-12-29 04:29:25,40:49:0f:b7:52:6a,[16],[-79.8],1
90,4014,center,2017-12-29 04:29:29,40:49:0f:b7:52:6a,[14],[-45.0],1
91,4014,center,2017-12-29 04:29:41,40:49:0f:b7:52:6a,[16],[-81.33333333333333],1
92,4014,center,2017-12-29 04:29:51,40:49:0f:b7:52:6a,[14],[-45.0],1
93,4014,center,2017-12-29 04:30:11,40:49:0f:b7:52:6a,"[14, 16]","[-45.0, -79.25]",2
94,4014,center,2017-12-29 04:30:29,40:49:0f:b7:52:6a,[14],[-45.0],1
95,4014,center,2017-12-29 04:30:32,40:49:0f:b7:52:6a,[16],[-81.0],1
96,4014,center,2017-12-29 04:30:44,40:49:0f:b7:52:6a,[14],[-45.0],1
97,4014,center,2017-12-29 04:30:53,40:49:0f:b7:52:6a,[16],[-80.0],1
98,4014,center,2017-12-29 04:31:04,40:49:0f:b7:52:6a,[14],[-45.0],1
99,4014,center,2017-12-29 04:31:12,40:49:0f:b7:52:6a,[16],[-79.33333333333333],1
100,4014,center,2017-12-29 04:31:26,40:49:0f:b7:52:6a,[14],[-46.0],1
101,4014,center,2017-12-29 04:31:31,40:49:0f:b7:52:6a,[16],[-82.25],1
102,4014,center,2017-12-29 04:31:37,40:49:0f:b7:52:6a,[14],[-45.0],1
103,4014,center,2017-12-29 04:31:46,40:49:0f:b7:52:6a,[16],[-80.5],1
104,4014,center,2017-12-29 04:31:57,40:49:0f:b7:52:6a,[14],[-44.5],1
105,4014,center,2017-12-29 04:32:08,40:49:0f:b7:52:6a,[14],[-45.0],1
106,4014,center,2017-12-29 04:32:10,40:49:0f:b7:52:6a,[16],[-82.0],1
107,4014,center,2017-12-29 04:32:18,40:49:0f:b7:52:6a,[14],[-45.0],1
108,4014,center,2017-12-29 04:32:31,40:49:0f:b7:52:6a,[16],[-80.5],1
109,4014,center,2017-12-29 04:32:45,40:49:0f:b7:52:6a,[14],[-45.0],1
110,4014,center,2017-12-29 04:32:49,40:49:0f:b7:52:6a,"[15, 16]","[-50.0, -80.66666666666667]",2
111,4014,center,2017-12-29 04:33:01,40:49:0f:b7:52:6a,[14],[-45.0],1
112,4014,center,2017-12-29 04:33:08,40:49:0f:b7:52:6a,"[15, 16]","[-50.666666666666664, -81.75]",2
113,4014,center,2017-12-29 04:33:14,40:49:0f:b7:52:6a,[14],[-45.0],1
114,4014,center,2017-12-29 04:33:31,40:49:0f:b7:52:6a,[15],[-51.0],1
115,4014,center,2017-12-29 04:33:35,40:49:0f:b7:52:6a,[16],[-81.2],1
116,4014,center,2017-12-29 04:33:36,40:49:0f:b7:52:6a,[14],[-45.0],1
117,4014,center,2017-12-29 04:33:51,40:49:0f:b7:52:6a,[16],[-80.5],1
118,4014,center,2017-12-29 04:33:52,40:49:0f:b7:52:6a,[15],[-50.5],1
119,4014,center,2017-12-29 04:33:55,40:49:0f:b7:52:6a,[14],[-45.0],1
120,4014,center,2017-12-29 04:34:19,40:49:0f:b7:52:6a,[15],[-51.0],1
121,4014,center,2017-12-29 04:34:20,40:49:0f:b7:52:6a,[14],[-45.0],1
122,4014,center,2017-12-29 04:34:22,40:49:0f:b7:52:6a,[16],[-80.6],1
123,4014,center,2017-12-29 04:34:36,40:49:0f:b7:52:6a,[14],[-45.666666666666664],1
124,4014,center,2017-12-29 04:34:38,40:49:0f:b7:52:6a,"[15, 16]","[-51.0, -80.0]",2
125,4014,center,2017-12-29 04:34:54,40:49:0f:b7:52:6a,[14],[-45.5],1
126,4014,center,2017-12-29 04:34:58,40:49:0f:b7:52:6a,[15],[-50.5],1
127,4014,center,2017-12-29 04:35:06,40:49:0f:b7:52:6a,[16],[-80.8],1
128,4014,center,2017-12-29 04:35:16,40:49:0f:b7:52:6a,[14],[-45.333333333333336],1
129,4014,center,2017-12-29 04:35:25,40:49:0f:b7:52:6a,[15],[-51.142857142857146],1
130,4014,center,2017-12-29 04:35:26,40:49:0f:b7:52:6a,[16],[-80.5],1
131,4014,center,2017-12-29 04:35:41,40:49:0f:b7:52:6a,[14],[-44.75],1
132,4014,center,2017-12-29 04:35:53,40:49:0f:b7:52:6a,[15],[-50.166666666666664],1
133,4014,center,2017-12-29 04:35:56,40:49:0f:b7:52:6a,[16],[-80.6],1
134,4014,center,2017-12-29 04:35:57,40:49:0f:b7:52:6a,[14],[-45.0],1
135,4014,center,2017-12-29 04:36:12,40:49:0f:b7:52:6a,[15],[-50.857142857142854],1
136,4014,center,2017-12-29 04:36:15,40:49:0f:b7:52:6a,[14],[-45.0],1
137,4014,center,2017-12-29 04:36:17,40:49:0f:b7:52:6a,[16],[-80.75],1
138,4014,center,2017-12-29 04:36:28,40:49:0f:b7:52:6a,[15],[-50.0],1
139,4014,center,2017-12-29 04:36:30,40:49:0f:b7:52:6a,[14],[-45.0],1
140,4014,center,2017-12-29 04:36:39,40:49:0f:b7:52:6a,[16],[-80.8],1
141,4014,center,2017-12-29 04:36:46,40:49:0f:b7:52:6a,"[14, 15]","[-45.0, -51.0]",2
142,4014,center,2017-12-29 04:37:00,40:49:0f:b7:52:6a,[16],[-80.0],1
143,4014,center,2017-12-29 04:37:08,40:49:0f:b7:52:6a,[14],[-45.0],1
144,4014,center,2017-12-29 04:37:15,40:49:0f:b7:52:6a,[15],[-50.75],1
145,4014,center,2017-12-29 04:37:19,40:49:0f:b7:52:6a,[16],[-81.0],1
146,4014,center,2017-12-29 04:37:29,40:49:0f:b7:52:6a,[14],[-45.0],1
