,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-28 04:17:40,40:49:0f:b7:52:6a,"[15, 16]","[-49.5, -80.0]",2
1,4014,center,2017-12-28 04:17:46,40:49:0f:b7:52:6a,[14],[-45.5],1
2,4014,center,2017-12-28 04:17:57,40:49:0f:b7:52:6a,[15],[-49.5],1
3,4014,center,2017-12-28 04:18:07,40:49:0f:b7:52:6a,"[14, 16]","[-45.0, -81.16666666666667]",2
4,4014,center,2017-12-28 04:18:19,40:49:0f:b7:52:6a,[15],[-48.75],1
5,4014,center,2017-12-28 04:18:20,40:49:0f:b7:52:6a,[14],[-45.0],1
6,4014,center,2017-12-28 04:18:27,40:49:0f:b7:52:6a,[16],[-82.0],1
7,4014,center,2017-12-28 04:18:42,40:49:0f:b7:52:6a,"[14, 16]","[-45.75, -83.0]",2
8,4014,center,2017-12-28 04:18:43,40:49:0f:b7:52:6a,[15],[-48.75],1
9,4014,center,2017-12-28 04:18:58,40:49:0f:b7:52:6a,[14],[-44.0],1
10,4014,center,2017-12-28 04:19:02,40:49:0f:b7:52:6a,[15],[-48.333333333333336],1
11,4014,center,2017-12-28 04:19:08,40:49:0f:b7:52:6a,[16],[-82.33333333333333],1
12,4014,center,2017-12-28 04:19:14,40:49:0f:b7:52:6a,[14],[-45.5],1
13,4014,center,2017-12-28 04:19:29,40:49:0f:b7:52:6a,"[15, 16]","[-49.2, -82.6]",2
14,4014,center,2017-12-28 04:19:30,40:49:0f:b7:52:6a,[14],[-45.0],1
15,4014,center,2017-12-28 04:19:45,40:49:0f:b7:52:6a,[14],[-46.0],1
16,4014,center,2017-12-28 04:19:50,40:49:0f:b7:52:6a,[15],[-52.0],1
17,4014,center,2017-12-28 04:19:54,40:49:0f:b7:52:6a,[16],[-82.5],1
18,4014,center,2017-12-28 04:20:04,40:49:0f:b7:52:6a,[14],[-45.5],1
19,4014,center,2017-12-28 04:20:14,40:49:0f:b7:52:6a,[15],[-50.2],1
20,4014,center,2017-12-28 04:20:16,40:49:0f:b7:52:6a,[16],[-82.25],1
21,4014,center,2017-12-28 04:20:22,40:49:0f:b7:52:6a,[14],[-44.666666666666664],1
22,4014,center,2017-12-28 04:20:31,40:49:0f:b7:52:6a,[15],[-48.333333333333336],1
23,4014,center,2017-12-28 04:20:32,40:49:0f:b7:52:6a,"[14, 16]","[-45.0, -82.33333333333333]",2
24,4014,center,2017-12-28 04:20:46,40:49:0f:b7:52:6a,[14],[-46.0],1
